src_ip,dst_ip,query_name,transaction_id,rcode,ttl,packet_size,time_taken,query_length,response_length,src_port,dst_port,query_type,anomaly_label,entropy,response_code_category,query_volume,geo_region,response_code_ratio
1.1.1.1,1.1.1.1,subdomain.google.com,55638,SERVFAIL,50000,290,3.1469144174744583,113,290,53,53,A,Anomalous,4,Error,0,Global,2.8333333333333335
8.8.4.4,8.8.4.4,google.com,0,No Error,117,62,0.052194146187944906,10,62,53,53,MX,Normal,1,No Error,0,US,3.0
1.1.1.1,1.1.1.1,nonexistent.example,428,SERVFAIL,50000,67,2.0235286653352027,1,67,53,53,MX,Anomalous,3,Error,0,Global,2.5714285714285716
8.8.4.4,8.8.4.4,my.site.info,0,NXDOMAIN,118,113,0.16290761805255966,12,113,53,53,TXT,Normal,1,Error,0,US,2.7142857142857144
8.8.8.8,8.8.8.8,nonexistent.example,0,NXDOMAIN,106,131,0.10480401381857335,19,131,53,53,TXT,Normal,1,Error,0,US,2.857142857142857
8.8.4.4,8.8.4.4,my.site.info,20718,NXDOMAIN,1,360,2.680577871049384,120,360,53,53,A,Anomalous,5,Error,0,US,3.0
8.8.8.8,8.8.8.8,rare.tld,57207,SERVFAIL,50000,427,2.2561320780027416,202,427,53,53,A,Anomalous,4,Error,0,US,3.142857142857143
8.8.8.8,8.8.8.8,example.com,0,No Error,106,64,0.11709128592234586,11,64,53,53,TXT,Normal,1,No Error,0,US,3.2857142857142856
8.8.4.4,8.8.4.4,nonexistent.example,34478,REFUSED,50000,494,3.647308383242928,200,494,53,53,TXT,Anomalous,4,Error,0,US,2.875
8.8.8.8,8.8.8.8,google.com,0,No Error,107,71,0.09984131145436706,10,71,53,53,AAAA,Normal,1,No Error,0,US,2.875
8.8.4.4,8.8.4.4,openai.com,0,No Error,112,94,0.08107087441844965,10,94,53,53,TXT,Normal,1,No Error,0,US,2.5555555555555554
8.8.8.8,8.8.8.8,subdomain.google.com,0,NXDOMAIN,99,114,0.08153339220192517,20,114,53,53,MX,Normal,1,Error,0,US,2.3
1.1.1.1,1.1.1.1,subdomain.google.com,52884,SERVFAIL,1,353,3.730517792322626,153,353,53,53,MX,Anomalous,4,Error,0,Global,2.4
8.8.8.8,8.8.8.8,my.site.info,0,NXDOMAIN,117,104,0.7087811982721567,12,104,53,53,TXT,Normal,1,Error,0,US,2.5
8.8.4.4,8.8.4.4,my.site.info,0,NXDOMAIN,114,104,0.03246803224032608,12,104,53,53,MX,Normal,1,Error,0,US,2.6
1.1.1.1,1.1.1.1,test.example.org,61334,SERVFAIL,50000,501,4.792495416231138,127,501,53,53,A,Anomalous,4,Error,0,Global,2.7
8.8.8.8,8.8.8.8,nonexistent.example,0,NXDOMAIN,99,144,0.0598631687223381,19,144,53,53,A,Normal,1,Error,0,US,2.8
8.8.8.8,8.8.8.8,rare.tld,0,NXDOMAIN,102,124,0.03127757510963296,8,124,53,53,TXT,Normal,1,Error,0,US,2.9
1.1.1.1,1.1.1.1,example.com,0,No Error,52,83,0.012760050828995471,11,83,53,53,AAAA,Normal,1,No Error,0,Global,3.0
1.1.1.1,1.1.1.1,openai.com,0,No Error,51,88,0.14164062691751342,10,88,53,53,MX,Normal,1,No Error,0,Global,2.727272727272727
8.8.4.4,8.8.4.4,openai.com,0,No Error,113,97,0.12612956649687662,10,97,53,53,TXT,Normal,1,No Error,0,US,2.5
1.1.1.1,1.1.1.1,test.example.org,2628,REFUSED,1,409,2.468342802613697,46,409,53,53,AAAA,Anomalous,3,Error,0,Global,2.3076923076923075
8.8.4.4,8.8.4.4,subdomain.google.com,58246,SERVFAIL,1,432,2.698379444213094,208,432,53,53,MX,Anomalous,5,Error,0,US,2.3076923076923075
8.8.4.4,8.8.4.4,openai.com,0,No Error,112,93,0.06921892201267588,10,93,53,53,AAAA,Normal,1,No Error,0,US,2.3846153846153846
8.8.4.4,8.8.4.4,openai.com,57487,NXDOMAIN,1,320,3.3672707915290365,136,320,53,53,MX,Anomalous,4,Error,0,US,2.2142857142857144
8.8.4.4,8.8.4.4,subdomain.google.com,0,NXDOMAIN,109,106,0.10987106657281315,20,106,53,53,TXT,Normal,1,Error,0,US,2.2857142857142856
8.8.4.4,8.8.4.4,rare.tld,33925,SERVFAIL,50000,33,4.320790765102228,16,33,53,53,AAAA,Anomalous,4,Error,0,US,2.357142857142857
8.8.8.8,8.8.8.8,subdomain.google.com,21938,REFUSED,1,388,3.468866960873166,29,388,53,53,A,Anomalous,5,Error,0,US,2.4285714285714284
8.8.4.4,8.8.4.4,example.com,42698,NXDOMAIN,1,92,2.4539136374741735,70,92,53,53,AAAA,Anomalous,5,Error,0,US,2.4285714285714284
1.1.1.1,1.1.1.1,openai.com,0,No Error,58,93,0.02823712676383705,10,93,53,53,AAAA,Normal,1,No Error,0,Global,2.5
1.1.1.1,1.1.1.1,openai.com,13804,NXDOMAIN,50000,29,2.0770345208392644,60,29,53,53,AAAA,Anomalous,5,Error,0,Global,2.3333333333333335
8.8.4.4,8.8.4.4,openai.com,0,No Error,115,86,0.14575793107769816,10,86,53,53,AAAA,Normal,1,No Error,0,US,2.4
8.8.4.4,8.8.4.4,test.example.org,0,NXDOMAIN,118,108,0.13570401956062905,16,108,53,53,TXT,Normal,1,Error,0,US,2.25
8.8.4.4,8.8.4.4,rare.tld,0,NXDOMAIN,119,130,0.0536039464256193,8,130,53,53,A,Normal,1,Error,0,US,2.3125
1.1.1.1,1.1.1.1,subdomain.google.com,0,NXDOMAIN,60,119,0.12725836429325987,20,119,53,53,AAAA,Normal,1,Error,0,Global,2.375
8.8.8.8,8.8.8.8,my.site.info,0,NXDOMAIN,109,101,0.603326658219265,12,101,53,53,AAAA,Normal,1,Error,0,US,2.4375
8.8.4.4,8.8.4.4,test.example.org,0,NXDOMAIN,114,122,0.14953905848490862,16,122,53,53,MX,Normal,1,Error,0,US,2.5
1.1.1.1,1.1.1.1,subdomain.google.com,51003,REFUSED,1,432,2.027162890351428,74,432,53,53,TXT,Anomalous,4,Error,0,Global,2.5625
8.8.4.4,8.8.4.4,rare.tld,38945,SERVFAIL,50000,339,2.7852517282246856,223,339,53,53,A,Anomalous,5,Error,0,US,2.5625
8.8.8.8,8.8.8.8,subdomain.google.com,48492,NXDOMAIN,50000,310,2.2276730910671154,13,310,53,53,MX,Anomalous,4,Error,0,US,2.625
1.1.1.1,1.1.1.1,rare.tld,0,NXDOMAIN,56,135,0.13942566893875077,8,135,53,53,TXT,Normal,1,Error,0,Global,2.6875
1.1.1.1,1.1.1.1,subdomain.google.com,0,NXDOMAIN,53,120,0.08265893417754258,20,120,53,53,AAAA,Normal,1,Error,0,Global,2.75
1.1.1.1,1.1.1.1,google.com,0,No Error,54,74,-0.0377335448319277,10,74,53,53,TXT,Normal,1,No Error,0,Global,2.8125
8.8.4.4,8.8.4.4,subdomain.google.com,0,NXDOMAIN,111,116,0.15057655580312876,20,116,53,53,MX,Normal,1,Error,0,US,2.6470588235294117
8.8.4.4,8.8.4.4,nonexistent.example,0,NXDOMAIN,116,136,0.16756321948859285,19,136,53,53,MX,Normal,1,Error,0,US,2.7058823529411766
8.8.4.4,8.8.4.4,nonexistent.example,0,NXDOMAIN,115,149,0.1511166794113774,19,149,53,53,MX,Normal,1,Error,0,US,2.764705882352941
8.8.8.8,8.8.8.8,test.example.org,0,NXDOMAIN,100,110,0.0896260044498856,16,110,53,53,AAAA,Normal,1,Error,0,US,2.823529411764706
8.8.4.4,8.8.4.4,test.example.org,0,NXDOMAIN,116,121,0.03187147735977109,16,121,53,53,TXT,Normal,1,Error,0,US,2.8823529411764706
8.8.8.8,8.8.8.8,google.com,0,No Error,105,68,0.1548493211990606,10,68,53,53,MX,Normal,1,No Error,0,US,2.9411764705882355
8.8.8.8,8.8.8.8,nonexistent.example,0,NXDOMAIN,104,134,0.1441544655830749,19,134,53,53,MX,Normal,1,Error,0,US,2.7777777777777777
8.8.8.8,8.8.8.8,nonexistent.example,52979,NXDOMAIN,50000,230,3.895181708956488,186,230,53,53,TXT,Anomalous,4,Error,0,US,2.8333333333333335
1.1.1.1,1.1.1.1,example.com,48960,SERVFAIL,1,106,3.180779206092102,127,106,53,53,TXT,Anomalous,5,Error,0,Global,2.888888888888889
8.8.8.8,8.8.8.8,openai.com,46579,SERVFAIL,50000,8,4.365093010069044,47,8,53,53,A,Anomalous,5,Error,0,US,2.9444444444444446
8.8.4.4,8.8.4.4,example.com,0,No Error,121,72,0.16715285909742952,11,72,53,53,AAAA,Normal,1,No Error,0,US,3.0
8.8.4.4,8.8.4.4,google.com,27649,SERVFAIL,50000,271,2.2479611530289842,131,271,53,53,MX,Anomalous,5,Error,0,US,2.8421052631578947
8.8.4.4,8.8.4.4,openai.com,37704,SERVFAIL,50000,120,4.6965086157212745,196,120,53,53,A,Anomalous,4,Error,0,US,2.8947368421052633
8.8.8.8,8.8.8.8,google.com,0,No Error,108,67,0.0436398210227041,10,67,53,53,MX,Normal,1,No Error,0,US,2.9473684210526314
1.1.1.1,1.1.1.1,subdomain.google.com,0,NXDOMAIN,60,122,0.0035804048919620066,20,122,53,53,MX,Normal,1,Error,0,Global,2.8
8.8.4.4,8.8.4.4,rare.tld,9143,REFUSED,1,345,2.714062248164934,210,345,53,53,TXT,Anomalous,4,Error,0,US,2.85
1.1.1.1,1.1.1.1,subdomain.google.com,0,NXDOMAIN,54,125,0.08321291006458646,20,125,53,53,AAAA,Normal,1,Error,0,Global,2.85
8.8.8.8,8.8.8.8,example.com,0,No Error,108,78,0.12116552043684128,11,78,53,53,MX,Normal,1,No Error,0,US,2.9
8.8.4.4,8.8.4.4,nonexistent.example,0,NXDOMAIN,114,135,0.014079314445734,19,135,53,53,A,Normal,1,Error,0,US,2.761904761904762
1.1.1.1,1.1.1.1,my.site.info,63966,NXDOMAIN,1,305,3.1000832120926245,254,305,53,53,A,Anomalous,3,Error,0,Global,2.8095238095238093
1.1.1.1,1.1.1.1,test.example.org,0,NXDOMAIN,52,108,0.13642472605327458,16,108,53,53,AAAA,Normal,1,Error,0,Global,2.857142857142857
8.8.4.4,8.8.4.4,nonexistent.example,0,NXDOMAIN,114,146,0.1476412850819967,19,146,53,53,A,Normal,1,Error,0,US,2.9047619047619047
1.1.1.1,1.1.1.1,test.example.org,43703,SERVFAIL,1,29,3.557454528526419,5,29,53,53,MX,Anomalous,4,Error,0,Global,2.9523809523809526
8.8.4.4,8.8.4.4,google.com,45199,NXDOMAIN,1,22,2.710036603439229,223,22,53,53,TXT,Anomalous,4,Error,0,US,3.0
8.8.4.4,8.8.4.4,test.example.org,44341,SERVFAIL,50000,137,4.258050718172731,133,137,53,53,TXT,Anomalous,3,Error,0,US,3.0476190476190474
8.8.8.8,8.8.8.8,my.site.info,11065,NXDOMAIN,1,46,2.102031793968082,16,46,53,53,AAAA,Anomalous,4,Error,0,US,3.0952380952380953
1.1.1.1,1.1.1.1,example.com,0,No Error,60,76,0.0284066817920179,11,76,53,53,AAAA,Normal,1,No Error,0,Global,3.142857142857143
1.1.1.1,1.1.1.1,google.com,0,No Error,60,75,0.014092857529056334,10,75,53,53,A,Normal,1,No Error,0,Global,3.0
8.8.4.4,8.8.4.4,example.com,28181,SERVFAIL,1,417,4.066625718761646,210,417,53,53,A,Anomalous,3,Error,0,US,2.869565217391304
1.1.1.1,1.1.1.1,subdomain.google.com,0,NXDOMAIN,58,111,0.004837039569171649,20,111,53,53,A,Normal,1,Error,0,Global,2.9130434782608696
8.8.4.4,8.8.4.4,nonexistent.example,29428,REFUSED,50000,510,4.090656657631374,161,510,53,53,TXT,Anomalous,4,Error,0,US,2.9565217391304346
8.8.4.4,8.8.4.4,nonexistent.example,0,NXDOMAIN,112,138,0.034888179511733904,19,138,53,53,MX,Normal,1,Error,0,US,2.9565217391304346
8.8.8.8,8.8.8.8,rare.tld,19482,REFUSED,1,359,2.529805640150543,108,359,53,53,AAAA,Anomalous,5,Error,0,US,3.0
1.1.1.1,1.1.1.1,rare.tld,0,NXDOMAIN,57,138,0.02846013652781869,8,138,53,53,AAAA,Normal,1,Error,0,Global,3.0
8.8.4.4,8.8.4.4,my.site.info,18883,REFUSED,1,441,3.099103100418124,138,441,53,53,A,Anomalous,3,Error,0,US,3.0434782608695654
1.1.1.1,1.1.1.1,my.site.info,10499,SERVFAIL,50000,74,3.6242216842900516,160,74,53,53,AAAA,Anomalous,4,Error,0,Global,3.0434782608695654
8.8.4.4,8.8.4.4,nonexistent.example,25452,SERVFAIL,50000,221,3.0157316544552386,152,221,53,53,A,Anomalous,3,Error,0,US,3.0869565217391304
1.1.1.1,1.1.1.1,my.site.info,0,NXDOMAIN,58,114,-0.00563034610648272,12,114,53,53,AAAA,Normal,1,Error,0,Global,3.130434782608696
8.8.8.8,8.8.8.8,subdomain.google.com,27116,NXDOMAIN,1,132,2.6192949055266643,169,132,53,53,TXT,Anomalous,4,Error,0,US,3.1739130434782608
1.1.1.1,1.1.1.1,rare.tld,0,NXDOMAIN,58,125,-0.006669426640852905,8,125,53,53,TXT,Normal,1,Error,0,Global,3.217391304347826
8.8.8.8,8.8.8.8,example.com,58288,NXDOMAIN,50000,300,4.502152344812157,225,300,53,53,MX,Anomalous,3,Error,0,US,3.260869565217391
8.8.4.4,8.8.4.4,nonexistent.example,0,NXDOMAIN,117,145,0.11645215157690644,19,145,53,53,MX,Normal,1,Error,0,US,3.3043478260869565
8.8.8.8,8.8.8.8,google.com,0,No Error,105,66,0.17036695707787727,10,66,53,53,TXT,Normal,1,No Error,0,US,3.347826086956522
8.8.4.4,8.8.4.4,example.com,32084,REFUSED,1,512,4.80066316574296,62,512,53,53,A,Anomalous,5,Error,0,US,3.2083333333333335
8.8.4.4,8.8.4.4,rare.tld,0,NXDOMAIN,115,126,0.08688404261577383,8,126,53,53,AAAA,Normal,1,Error,0,US,3.2083333333333335
8.8.4.4,8.8.4.4,my.site.info,0,NXDOMAIN,119,115,0.04128015319730345,12,115,53,53,A,Normal,1,Error,0,US,3.25
8.8.8.8,8.8.8.8,subdomain.google.com,0,NXDOMAIN,103,120,0.17493061553250985,20,120,53,53,A,Normal,1,Error,0,US,3.2916666666666665
8.8.4.4,8.8.4.4,rare.tld,0,NXDOMAIN,113,136,0.15274084264705984,8,136,53,53,TXT,Normal,1,Error,0,US,3.3333333333333335
8.8.4.4,8.8.4.4,google.com,23146,REFUSED,1,89,4.124703884633671,105,89,53,53,A,Anomalous,5,Error,0,US,3.375
1.1.1.1,1.1.1.1,rare.tld,0,NXDOMAIN,53,134,0.12893646091058647,8,134,53,53,MX,Normal,1,Error,0,Global,3.375
8.8.4.4,8.8.4.4,nonexistent.example,17068,NXDOMAIN,1,308,2.0872157438453343,130,308,53,53,A,Anomalous,5,Error,0,US,3.4166666666666665
1.1.1.1,1.1.1.1,example.com,0,No Error,51,71,0.14246791430356617,11,71,53,53,MX,Normal,1,No Error,0,Global,3.4583333333333335
1.1.1.1,1.1.1.1,my.site.info,0,NXDOMAIN,51,111,0.04541157159493017,12,111,53,53,TXT,Normal,1,Error,0,Global,3.32
8.8.8.8,8.8.8.8,openai.com,34939,SERVFAIL,1,336,4.74704424710907,185,336,53,53,A,Anomalous,3,Error,0,US,3.36
1.1.1.1,1.1.1.1,openai.com,0,No Error,55,80,0.11319372527566057,10,80,53,53,AAAA,Normal,1,No Error,0,Global,3.4
1.1.1.1,1.1.1.1,google.com,26379,SERVFAIL,1,311,2.2678072234224045,100,311,53,53,TXT,Anomalous,5,Error,0,Global,3.269230769230769
8.8.8.8,8.8.8.8,openai.com,55882,SERVFAIL,1,468,3.232382454336216,98,468,53,53,MX,Anomalous,3,Error,0,US,3.3076923076923075
8.8.8.8,8.8.8.8,test.example.org,0,NXDOMAIN,116,120,0.061022718601010786,16,120,53,53,AAAA,Normal,1,Error,0,US,3.3461538461538463
8.8.4.4,8.8.4.4,my.site.info,52964,NXDOMAIN,50000,502,2.242098444579618,51,502,53,53,TXT,Anomalous,5,Error,0,US,3.3846153846153846
1.1.1.1,1.1.1.1,rare.tld,0,NXDOMAIN,52,134,0.10743715769794773,8,134,53,53,A,Normal,1,Error,0,Global,3.423076923076923
8.8.4.4,8.8.4.4,openai.com,58169,REFUSED,50000,66,2.95244975822727,86,66,53,53,MX,Anomalous,5,Error,0,US,3.4615384615384617
8.8.4.4,8.8.4.4,subdomain.google.com,0,NXDOMAIN,111,107,0.02144844845595832,20,107,53,53,TXT,Normal,1,Error,0,US,3.4615384615384617
8.8.4.4,8.8.4.4,example.com,51507,SERVFAIL,50000,47,3.6116838081288423,84,47,53,53,AAAA,Anomalous,4,Error,0,US,3.5
8.8.4.4,8.8.4.4,example.com,0,No Error,110,63,0.1479075089283744,11,63,53,53,MX,Normal,1,No Error,0,US,3.5384615384615383
8.8.4.4,8.8.4.4,subdomain.google.com,0,NXDOMAIN,119,109,0.0918475249245723,20,109,53,53,TXT,Normal,1,Error,0,US,3.4074074074074074
8.8.8.8,8.8.8.8,nonexistent.example,51670,REFUSED,1,92,4.941294765624079,41,92,53,53,TXT,Anomalous,5,Error,0,US,3.4444444444444446
8.8.4.4,8.8.4.4,example.com,31673,NXDOMAIN,1,261,4.984190927352122,94,261,53,53,MX,Anomalous,4,Error,0,US,3.4444444444444446
8.8.4.4,8.8.4.4,test.example.org,0,NXDOMAIN,111,123,0.15270038640936098,16,123,53,53,TXT,Normal,1,Error,0,US,3.4814814814814814
8.8.8.8,8.8.8.8,example.com,0,No Error,107,69,0.12236358138093012,11,69,53,53,TXT,Normal,1,No Error,0,US,3.5185185185185186
8.8.8.8,8.8.8.8,openai.com,34393,REFUSED,1,271,3.320033374579615,174,271,53,53,TXT,Anomalous,3,Error,0,US,3.392857142857143
8.8.8.8,8.8.8.8,nonexistent.example,0,NXDOMAIN,109,137,0.05731007276140389,19,137,53,53,AAAA,Normal,1,Error,0,US,3.392857142857143
8.8.8.8,8.8.8.8,google.com,51252,REFUSED,1,418,4.599625684722043,4,418,53,53,TXT,Anomalous,3,Error,0,US,3.4285714285714284
8.8.8.8,8.8.8.8,test.example.org,17041,REFUSED,50000,486,3.139862635826006,119,486,53,53,MX,Anomalous,4,Error,0,US,3.4285714285714284
8.8.4.4,8.8.4.4,test.example.org,54786,NXDOMAIN,50000,352,3.753234111489713,28,352,53,53,TXT,Anomalous,5,Error,0,US,3.4285714285714284
8.8.8.8,8.8.8.8,openai.com,0,No Error,102,97,-0.004491758130919232,10,97,53,53,A,Normal,1,No Error,0,US,3.4642857142857144
1.1.1.1,1.1.1.1,openai.com,0,No Error,60,82,0.08848186086272242,10,82,53,53,MX,Normal,1,No Error,0,Global,3.3448275862068964
1.1.1.1,1.1.1.1,openai.com,0,No Error,51,91,0.14568091023162819,10,91,53,53,A,Normal,1,No Error,0,Global,3.2333333333333334
1.1.1.1,1.1.1.1,google.com,4524,NXDOMAIN,50000,495,4.353135036038822,125,495,53,53,MX,Anomalous,3,Error,0,Global,3.129032258064516
8.8.8.8,8.8.8.8,rare.tld,21607,SERVFAIL,50000,87,3.993706252465425,253,87,53,53,A,Anomalous,5,Error,0,US,3.161290322580645
8.8.4.4,8.8.4.4,test.example.org,0,NXDOMAIN,109,118,0.09314371365283214,16,118,53,53,MX,Normal,1,Error,0,US,3.193548387096774
1.1.1.1,1.1.1.1,nonexistent.example,0,NXDOMAIN,55,147,0.0486905133883984,19,147,53,53,MX,Normal,1,Error,0,Global,3.225806451612903
8.8.8.8,8.8.8.8,rare.tld,0,NXDOMAIN,102,128,0.06309221221170018,8,128,53,53,TXT,Normal,1,Error,0,US,3.2580645161290325
1.1.1.1,1.1.1.1,example.com,48777,NXDOMAIN,50000,89,4.72997981782537,196,89,53,53,A,Anomalous,3,Error,0,Global,3.2903225806451615
8.8.8.8,8.8.8.8,test.example.org,0,NXDOMAIN,99,114,0.13337237652411207,16,114,53,53,TXT,Normal,1,Error,0,US,3.3225806451612905
8.8.8.8,8.8.8.8,subdomain.google.com,62036,SERVFAIL,1,99,2.540151362599303,208,99,53,53,MX,Anomalous,4,Error,0,US,3.3548387096774195
1.1.1.1,1.1.1.1,google.com,0,No Error,55,72,0.1026684747924698,10,72,53,53,TXT,Normal,1,No Error,0,Global,3.3870967741935485
8.8.8.8,8.8.8.8,subdomain.google.com,60800,REFUSED,50000,213,4.5358797235176525,128,213,53,53,MX,Anomalous,3,Error,0,US,3.28125
8.8.4.4,8.8.4.4,my.site.info,0,NXDOMAIN,119,101,0.09073096060034455,12,101,53,53,MX,Normal,1,Error,0,US,3.28125
8.8.8.8,8.8.8.8,nonexistent.example,0,NXDOMAIN,101,141,0.15534505295840526,19,141,53,53,AAAA,Normal,1,Error,0,US,3.3125
8.8.4.4,8.8.4.4,test.example.org,0,NXDOMAIN,114,107,0.07175400044319433,16,107,53,53,A,Normal,1,Error,0,US,3.34375
8.8.4.4,8.8.4.4,openai.com,15099,REFUSED,50000,275,2.823574525727967,9,275,53,53,MX,Anomalous,4,Error,0,US,3.375
8.8.4.4,8.8.4.4,test.example.org,61995,SERVFAIL,50000,339,4.662430253541086,214,339,53,53,AAAA,Anomalous,4,Error,0,US,3.375
1.1.1.1,1.1.1.1,test.example.org,13802,REFUSED,50000,106,2.0269039595979708,20,106,53,53,TXT,Anomalous,5,Error,0,Global,3.40625
1.1.1.1,1.1.1.1,google.com,64443,REFUSED,50000,491,2.7044603365984474,207,491,53,53,AAAA,Anomalous,3,Error,0,Global,3.40625
8.8.4.4,8.8.4.4,google.com,0,No Error,112,66,0.02963390396161849,10,66,53,53,TXT,Normal,1,No Error,0,US,3.40625
8.8.8.8,8.8.8.8,test.example.org,0,NXDOMAIN,117,110,0.14058007382972257,16,110,53,53,MX,Normal,1,Error,0,US,3.303030303030303
8.8.8.8,8.8.8.8,test.example.org,26248,NXDOMAIN,1,294,4.705726325168211,245,294,53,53,TXT,Anomalous,4,Error,0,US,3.3333333333333335
8.8.8.8,8.8.8.8,my.site.info,0,NXDOMAIN,109,105,-0.007940467656136208,12,105,53,53,A,Normal,1,Error,0,US,3.3636363636363638
1.1.1.1,1.1.1.1,example.com,34180,REFUSED,1,276,4.807194578213318,45,276,53,53,A,Anomalous,5,Error,0,Global,3.393939393939394
8.8.4.4,8.8.4.4,test.example.org,0,NXDOMAIN,119,114,0.056467544907610814,16,114,53,53,A,Normal,1,Error,0,US,3.393939393939394
1.1.1.1,1.1.1.1,rare.tld,36571,NXDOMAIN,50000,309,3.4969409588047964,145,309,53,53,MX,Anomalous,5,Error,0,Global,3.4242424242424243
1.1.1.1,1.1.1.1,rare.tld,0,NXDOMAIN,55,138,0.15309612655077015,8,138,53,53,AAAA,Normal,1,Error,0,Global,3.4545454545454546
8.8.4.4,8.8.4.4,my.site.info,0,NXDOMAIN,113,109,-0.01263799180791221,12,109,53,53,A,Normal,1,Error,0,US,3.484848484848485
8.8.8.8,8.8.8.8,openai.com,30255,NXDOMAIN,50000,45,3.98618278193172,13,45,53,53,TXT,Anomalous,4,Error,0,US,3.515151515151515
8.8.8.8,8.8.8.8,my.site.info,32194,NXDOMAIN,1,426,4.861758553291758,166,426,53,53,AAAA,Anomalous,5,Error,0,US,3.5454545454545454
1.1.1.1,1.1.1.1,nonexistent.example,20382,NXDOMAIN,50000,126,4.35111822455454,169,126,53,53,A,Anomalous,4,Error,0,Global,3.5757575757575757
1.1.1.1,1.1.1.1,my.site.info,0,NXDOMAIN,59,115,0.014372599372295534,12,115,53,53,A,Normal,1,Error,0,Global,3.606060606060606
8.8.8.8,8.8.8.8,subdomain.google.com,0,NXDOMAIN,109,112,0.12588231110973008,20,112,53,53,TXT,Normal,1,Error,0,US,3.6363636363636362
